词根、词缀预习表
vil 无耻的 vile a. 可恶的；卑鄙的
vit 生命 vital a. 极其重要的；有生命力的
vis 看 visual a. 视觉的；用于视觉的
volunt 意愿 voluntary a. 自愿的，志愿的
vuln 受伤 vulnerable a. 易受攻击的
voy 路 voyage n. 旅行；航行
vulg 人们，大众 vulgar a. 大众的
ten 维持 tenable a. 站得住脚的；可防守的
scop 看 telescope n. 望远镜
graph 写 telegraph n. 电报机；电报





